"source","text","id","line_value","line_var","type"
"turning point at glendale","I’ll fight for you with every breath in my body.",1,-1,NA,"real"
"turning point at glendale","We’ll defend America against all threats and protect America against all dangers.",2,-1,2.12132034355964,"real"
"turning point at glendale","We’ll never give in, we’ll never give up, and we will never stop fighting for our country, our flag, and our freedom.",3,1,2.12132034355964,"real"
"turning point at glendale","I will never stop fighting for you.",4,-1,NA,"real"
"turning point at glendale","Well, thank you very much and a very big hello, Arizona. Hello, Phoenix. I’m thrilled to be back in this incredible state with thousands of proud, hardworking American patriots. That’s what you are. You built our country. 74 days from now, can you imagine? 74 days. Then we gently move into that beautiful White House and we take over our country and we make it great again. We’re going to win Arizona. We’re going to defeat comrade Kamala Harris, and we’re going to win back our beautiful White House. We’re going to win it back. We’re going to win it back in record force. Everyone here tonight is part of the greatest political movement in the history of our country. This is the greatest political movement. It’s called Make America Great Again. And it’s right now bigger and better and stronger than it ever was before. We won in 2016, and we did much better in 2020.",5,30,1.1037127426019,"real"
"turning point at glendale","A lot of people don’t understand that, but we understand it. Millions and millions more votes, but those two are nothing like the spirit that we have now. It’s amazing, and that’s because we’ve seen how bad government can be. That’s why. It’s combinations of a lot of things, but the job they’ve done in destroying our country is unbelievable and people have seen it and because of that, there’s never been anything like this. Right, Carrie? Right? Our movement is not about Democrat versus Republican. It’s about patriotism and common sense. You have a common sense with a Party of common sense. You say what you want, nice to say conservative, but really, with a Party of common sense. We want fair elections, free elections. We want strong borders. We want a great military. We want great education. We want a nice home at low interest rates or low taxes and no regulations.(31:58)That’s why we’re welcoming support from millions and millions of disaffected Democrats and they are joining like wildfire. Now, it’s a little different than it was. We had somebody, I was up 18 points and they said, “Joe, you can’t win. You’re getting out of the race.” “No, I want to go and give it a shot.” “No, Joe. You’re getting out of the race, Joe, and if you don’t do it the nice way, we’ll do it the tough way, Joe.” And he said, “Okay.” And now I have a new opponent. This never happened before. We spent $100 million and a lot of time on defeating him, and as soon as he was gonzo… It all started with the debate. The debate, all that time, all that effort. A friend of mine said, “You did a terrible job in the debate.” I said, “Why do you say that? Everybody said I was brilliant.” They said, “No, you got him out of the race with that debate.”(32:57)It’s all right. We have to do what we have to do. Right? We have to do what we have to do, and now we have somebody that in theory should be easier to beat, in theory because she’s a radical left Marxist and everybody knows it, but we’re welcoming the support from millions of disaffected Democrats, independents, moderates, old-fashioned liberals who still believe in little things like borders. I was there yesterday. That’s a scary place. ” Sir, it’s about time that you get out of the sun. Sir, we’re going to have to get you out of here, sir. Let’s get the hell out of here.” She was the border czar. She presided over the worst border in history, not American history, world history, democracy, liberty, and of course, always the right of free speech. We don’t really have free speech right now. The press, look at all of them. Look at all of them. Look at that. Wow. Man. That’s a lot of press. That’s a lot of fake news. That’s a hell of a lot of fake news.(34:09)Gone forever is the old Democratic Party of FDR, JFK. That’s right, even Bill Clinton. Kamala Harris’ Democrat Party is the Party of free healthcare for illegal aliens, communist-style price controls, defund the police. All her life, she wants to defund the police. A little while ago she changed, didn’t she? Huh? Banning gas-powered cars and sex changes for minor children without parental consent. How about that one? How would you like that? Without parental consent. Can you imagine, your kid comes home without parental consent? “What happened to my baby? What happened?” The true divide in American politics today is between these far-left fascists, led by Harris and her group, and you know who her group is, and citizens of all political backgrounds who love our country, share traditional American values, the values that you have right here in this great state, and look past our differences to unite around a thing called our great American flag.(35:25)And we should speak to our great Congressmen and Congresswomen. They ought to make it illegal to burn the American flag. If you burn the American flag, you go to jail for one year. One year. That’s all. One year. You burn the American flag because in Chicago at the Democrat [inaudible 00:35:52], they were burning flags all over the place. You burn the American flag, they say it’s unconstitutional to do that. I think it’s constitutional. You burn the American flag, you go to jail for one year. Nobody’s going to be burning the American flag anymore.(36:10)Our opponents worship the deep state. We want to obliterate the deep state, slight difference. Thank you. Our opponents join with warmongers and neocons to wage endless wars, these wars that never end. We don’t even know who the hell the country is that we’re fighting. We believe that America is strongest when America is at peace. We want peace through strength. That’s what we want, like we had four years ago. We didn’t have any wars, except we wiped out ISIS very quickly. It was supposed to take five years to beat ISIS. I did it in three weeks.(36:56)They support coercive COVID vaccine mandates and want to fire you. If you don’t obey, you get fired. We oppose these mandates as a fundamental violation of our God-given rights. We don’t want the mandates. We don’t want the mandates. They want to arrest their political opponents and silence those who disagree. We reject censorship in all forms and we believe in freedom, open debate and fair, equal and impartial justice under the constitutional rule of law. Our opponents slander us as a threat to democracy. “Trump is a threat to democracy.” No, they’re a threat to democracy. How many times have you heard? It’s a talking point for them. Right, Deb? It’s a talking point. “Donald Trump is a threat to democracy.” And those guys say it too because they’re the same thing. They’re like a part. They’re a subsidiary of the Democrat Party.(37:59)Meanwhile, they rig their primaries, they force out Joe Biden, they force him out of the Party. Joe Biden got 14,000,000 votes in an unconstitutional coup, and they appoint a nominee who never got a single vote. And when she ran against this guy, and I’m no fan, he was the worst president in the history of our country. He let in millions and millions of people through her, let in millions of people who destroy our country, but we’re going to get those people out. The people that came in here from jails and prisons and mental institutions, but they threw them out. They ran against each other for the primary and she never even made it to the first state. The great State of Iowa, never made it. And now she’s the one running. A little strange, isn’t it? You see, that’s really a threat to democracy if you get right down to it, right? In our movement, we know that democracy does not mean rule by the Democrat establishment. It means rule by the American people.(39:09)Tonight, I’m very pleased to welcome a man who has been an incredible champion for so many of these values that we all share, and we’ve shared them for a long time. I don’t think too many of you people have heard of him. He’s very low-key. He’s a very low-key person, but he’s highly respected. He is a great person. I’ve known him for so long, for the past 16 months. Robert F. Kennedy Jr…",6,23,2.34361878717675,"real"
"turning point at glendale","For the past 16 months, Bobby has run an extraordinary campaign for President of the United States. I know because he also went after me a couple of times. I didn’t like it, and I mean this sincerely. Had he been allowed to enter the Democrat primary, he would’ve easily beaten Joe Biden, but they wouldn’t let him in. They put up rules. I’ve never seen rules like he had to have 65% of the vote in order to run. Little things like that. His candidacy has inspired millions and millions of Americans, raised critical issues that have been too long ignored in this country, and brought together people from across the political spectrum in a positive campaign, grounded in the American values of his father, Robert Kennedy, a great man, and his uncle, President John F. Kennedy.(41:50)And I know that they are looking down right now, and they are very, very proud of Bobby. I’m proud of Bobby. You want to know the truth? And I don’t think I’ve ever introduced anyone that got applause like he just got. I must tell you, it’s true. I don’t think I’ve ever introduced anybody that got applause like that.",8,15,1.60255477852765,"real"
"turning point at glendale","Amazing. Still.",9,4,NA,"real"
"turning point at glendale","Amazing. Soon after I was, I can’t even believe I have to say this, nearly assassinated in Pennsylvania last month, Bobby called me to express his best wishes. He knows firsthand the risks incurred by leaders who stand up to the corrupt political establishment. When you stand up, you bring on some trouble for yourself, but you have to do what’s right. You have to do what’s right for the country. I will tell you, we are both in this to do what’s right for the country. That’s one thing I can tell you. He lost his father and uncle in service to our country, and Bobby himself was subject to repeated threats to his safety during the course of his campaign while being denied protection by the Harris-Biden administration.(43:41)And this is a tribute in honor of Bobby. I am announcing tonight that upon my election, I will establish a new independent Presidential Commission on Assassination Attempts, and they will be tasked with releasing all of the remaining documents pertaining to the assassination of President John F. Kennedy. And they will also conduct a rigorous review of the attack last month. But I tell you, I have never had more people ask me, “Please sir, release the documents on the Kennedy assassination,” and we’re going to do that.(44:39)I also want to salute Bobby’s decades of work as an advocate for the health of our families and our children. Nobody’s done more. Millions and millions of Americans who want clean air, clean water and a healthy nation have concerns about toxins in our environment and pesticides in our food. That’s why today I’m repeating my pledge to establish a panel, top experts working with Bobby to investigate what is causing the decades-long increase in chronic health problems and childhood diseases, including autoimmune disorders, autism, obesity, infertility, and many more. We want every child in America to grow up and to live a long and healthy life.(45:35)So I just want to ask Bobby to speak for a little while. I’ll stand aside. I’m going to stand aside, but I can only tell you I’ve known him a long time. We’ve been a little bit on the opposite side of the equation, but I will say this, he is a brilliant… I still think of him as young. He’s not that young. I always call him young, but he’s not that young. But he is a phenomenal person, a phenomenal man who loves the people of this country as much as anybody can love the people of this country. So Bobby, please say a few words. Thank you very much. Thank you.",10,15,2.26853368043953,"real"
"turning point at glendale","Wow, that was something, huh? That was something. Fantastic guy. He did well, and the polls are good and all, but you have to remember, we have sort of like a two party system. It was designed that way and it’s awfully tough. And as well as he did, he’d be at 10 and 15 and 16 points sometimes. That’s a lot. That’s a lot. But if he were in a regular system like as a Democrat or perhaps as a Republican, but not against me, of course, but if he were in a regular system, there are a lot of people that maybe liked him the best, but they said, “We can’t vote.” So with all of those votes he was getting, he has a lot of votes that he could have gotten, I think he’s going to have a huge influence. We’re leading now, but I think he’s going to have a huge influence on this campaign. Actually, much bigger than you’d see in the polls, and those numbers are big to start off with. But Bobby and I will fight together to defeat the corrupt political establishment and return control of this country to the people.(53:48)And to all who supported Bobby’s campaign, I very simply ask you, join us in building this coalition. It’s a beautiful coalition in defense of liberty and safety, prosperity and peace. It’s going to be an incredible coalition and the relationship has been so good for so long. I have no doubt it’s going to work and work well, but we have to win. We have to take our country away from these people that are going to destroy our country. We won’t have a country left. So thank you very much. We need your vote.(54:24)As you all know, this week, the Democrats held their Convention. You probably saw at their Party. The media says the big message from their Convention was that we need to turn the page from the failures of the last four years. Do you believe it? They forgot they’ve run it for the last four years. She was saying last night, “We will stop the abuse. We will stop the high taxes.” I said, “You could have done it three and a half years ago.” In fact, you could leave that nice auditorium that you’re in and go to the White House right now. You want to have a strong border? All you have to do is say to the incredible Border Patrol, ICE, law enforcement, “Close the border now.” You don’t need bills. I did it, and we had the best border in history.(55:25)Put up that chart. Put it up. That chart, I love that chart. I love that chart. Put it up. I love that chart. Not everybody realizes, but that chart is very meaningful, even beyond the numbers that are on the chart. It shows the least numbers of illegal immigrants pouring into our country. Again, prisons, from mental institutions, terrorists, where the bottom arrow is. But you know what? That chart is meaningful in many ways. Some people understand what I’m talking about. I love you, darling. I love you. I’m going to sleep with that chart tonight, Deb. I’m going to sleep with that chart.(56:19)But isn’t that a beautiful site? Look at that. Look at that arrow. And then look what happens when… That was my last week in office, and look what happens after I left. It’s like a rocket ship. Look at that. Isn’t that terrible? No vetting, no checking. We have no idea who they are. They just pour into our country by the millions and millions and millions. We need to turn the page of four years of calamity and failure. They have had calamity and failure, and say, Kamala, you’ve done a horrible job. You’ve been the worst vice president in the history of our country. Kamala, you’re fired. You’re fired. Get out. Get out. Get out, Kamala. She’s the only person ever to get a nomination of a Party without getting one vote. She didn’t get one vote.(57:22)Hey, maybe she’s smarter than we think. You could look at it that way. As vice president, Kamala cast the deciding votes causing the worst inflation in decades, costing the typical American household, $28,000. Think of this. Higher prices. It was inflation, $28,000. As borders are, she flooded America with savage, illegal alien criminals who have been raping, pillaging and killing our cities and our towns. Three years ago this week, she was the final vote on the catastrophic Afghanistan withdrawal. And we were withdrawing, but we were going to withdraw with dignity, with grace and with strength. We would’ve been out faster, but we were going to keep [inaudible 00:58:15]. But that was the most embarrassing event in the history of our country, leading to horrific war and humiliation all over the world. When Putin saw that, he invaded Ukraine. It brought a lot of people back because they said, “The United States is run by incompetent people. The United States is no longer respected. It’s no longer strong.” That’s what they said.(58:40)A lot of these things that you’re seeing now wouldn’t have happened except for the horrible, horrible event of Afghanistan. I was dealing with the leader of Afghanistan, Abdul, and I said, “Abdul, you can’t kill our people.” He was killing our people. And I had a strong talk with him. I’m not going to get into it exactly. We went 18 months without one soldier being sniped at or shot at, not one soldier injured or killed. And then we had a tremendous election where we did probably 10,000,000 or 12,000,000 more votes that we got the first time. Most presidents don’t get as many votes the second time because people get bored, but they don’t get bored with me. They get bored. No, they get bored.(59:37)Like Barack Hussein Obama got far fewer votes the second time, and he won, he won. Have you heard of him? Barack Hussein Obama. Remember Rush? Rush Limbaugh, “Barack Hussein Obama.” He was nasty to me. He was nasty. Michelle was nasty. They’re all nasty, nasty people. They were very nasty. I was surprised. And I was sort of nice to him. I said, “No, I like him.” Good. It didn’t matter. They were nasty to me. And of course, last night, Kamala mentioned my name, I think 21 times. She didn’t mention the border. She didn’t mention inflation. She didn’t mention anything but my name over and over and over again. She blamed me for the border. I haven’t been there in four years. You saw it. I had the safest border, the best border we’ve ever had. She blamed me for the border. They lied so much. They lied about everything. She said, I was involved with something called Project 25. I don’t even know what the hell it is. No, they really were nasty. And then they say to me, “Sir, please stick to policy. Don’t stick to personality. You should be nice to people, sir. You have to be nice.” I call them up. My geniuses, they get paid a fortune. Actually, not that much, but I call up my people and say, “They’re knocking the hell out of me and you say I shouldn’t get personal. I have to get personal, don’t I?” I have to get personal. I have to get personal. They get personal, but I’m going to do my best. So they’re allowed to get personal with me, but I’m not allowed to get personal to them. They call me names that are so bad. Our great First Lady says, “But you’re not that way, darling.” They love our great First Lady, I will tell you. They do, they do. “But",11,-16,2.47589471601858,"real"
