"source","text","id","line_value","line_var","type"
"SIMULATED_2024_Phoenix_AZ","Thank you very much, Phoenix. This is an unbelievable crowd. You have people all the way in the back, people standing outside, people who came a long way, and I want to thank everybody for being here. Arizona is a great state, a very important state, and every time you come here you hear the same thing: people want to know what is happening to the country and where all of this is going.",1,7,1.51657508881031,"simulated"
"SIMULATED_2024_Phoenix_AZ","Then you come to Arizona and very quickly the conversation becomes the border. You hear about the agents, the towns, the hospitals, the schools, the roads, the people moving through the system, the people waiting for hearings, the people who have lived here for years. It is a huge administrative problem, and it has become one of the biggest symbols in American politics of whether the government can actually manage something complicated.",3,-1,2.12132034355964,"simulated"
"SIMULATED_2024_Phoenix_AZ","And when government looks like it cannot manage one thing, people start asking about everything else. They ask about crime. They ask about the courts. They ask about the police. They ask about whether the rules mean the same thing from one place to another. They ask why some things seem to move very quickly and other things seem to take forever.",4,-1,3.53553390593274,"simulated"
"SIMULATED_2024_Phoenix_AZ","Energy is another one. Arizona is growing, the whole Southwest is growing, and growth means electricity, transportation, construction, air conditioning, data centers, factories, all of it. You cannot talk about growth without talking about power. You cannot talk about power without talking about price. And you cannot talk about price without talking about policy.",5,3,0.707106781186548,"simulated"
"SIMULATED_2024_Phoenix_AZ","I was talking to somebody backstage, a very successful person, and he said something interesting. He said the problem is not that people expect everything to be perfect. They know it is never perfect. The problem is they want to believe somebody is paying attention. That is a very simple thing, but it explains a lot of politics.",6,7,2.07364413533277,"simulated"
"SIMULATED_2024_Phoenix_AZ","Then you look overseas and people see war, instability, trade disputes, military spending, alliances, sanctions, negotiations. Most people do not follow every detail, but they understand when the world feels calm and when it feels dangerous. Foreign policy becomes another test of competence, another test of whether leaders can create predictable outcomes.",7,-2,2.3094010767585,"simulated"
"SIMULATED_2024_Phoenix_AZ","And of course you have the media. The media talks about the campaign, the campaign talks about the media, everybody talks about the polls, and then you come into a room like this and people say the polls do not capture the energy. Maybe they do, maybe they do not. But the event itself becomes part of the argument.",8,2,NA,"simulated"
"SIMULATED_2024_Phoenix_AZ","Arizona is also a place where people talk about water, housing, growth, roads, and the pressure that comes when a region expands very quickly. These are not glamorous questions, but they are governing questions. Who builds what, where does it go, how much does it cost, and who is responsible when the system falls behind?",9,7,1.51657508881031,"simulated"
"SIMULATED_2024_Phoenix_AZ","So you end up with the same group of subjects coming back again: prices, the border, public order, energy, housing, foreign affairs, institutions. They look separate, but in a rally speech they get tied together by one larger question: does the government look capable of doing the basic things people expect it to do?",10,1,NA,"simulated"
"SIMULATED_2024_Phoenix_AZ","That is why these speeches move around so much. You start with gasoline, you go to the border, you go to a story about somebody you met, you go to China, you go to housing, you go back to groceries. It sounds like a series of detours, but the detours keep returning to the same themes.",11,2,NA,"simulated"
